ImageName,Tx,Ty,Tz,Rx,Ry,Rz
ImTest0087,4.0,8.0,10.0,0.0,0.0,0.0
ImTest0088,4.0,10.0,10.0,0.0,0.0,0.0
ImTest0089,6.0,-10.0,10.0,0.0,0.0,0.0
ImTest0090,6.0,-8.0,10.0,0.0,0.0,0.0
ImTest0091,6.0,-6.0,10.0,0.0,0.0,0.0
ImTest0092,6.0,-4.0,10.0,0.0,0.0,0.0
ImTest0093,6.0,-2.0,10.0,0.0,0.0,0.0
ImTest0094,6.0,0.0,10.0,0.0,0.0,0.0
ImTest0095,6.0,2.0,10.0,0.0,0.0,0.0
ImTest0096,6.0,4.0,10.0,0.0,0.0,0.0
ImTest0097,6.0,6.0,10.0,0.0,0.0,0.0
ImTest0098,6.0,8.0,10.0,0.0,0.0,0.0
ImTest0099,6.0,10.0,10.0,0.0,0.0,0.0
ImTest0100,8.0,-10.0,10.0,0.0,0.0,0.0
ImTest0101,8.0,-8.0,10.0,0.0,0.0,0.0
ImTest0102,8.0,-6.0,10.0,0.0,0.0,0.0
ImTest0103,8.0,-4.0,10.0,0.0,0.0,0.0
ImTest0104,8.0,-2.0,10.0,0.0,0.0,0.0
ImTest0105,8.0,0.0,10.0,0.0,0.0,0.0
ImTest0106,8.0,2.0,10.0,0.0,0.0,0.0
ImTest0107,8.0,4.0,10.0,0.0,0.0,0.0
ImTest0108,8.0,6.0,10.0,0.0,0.0,0.0
ImTest0109,8.0,8.0,10.0,0.0,0.0,0.0
ImTest0110,8.0,10.0,10.0,0.0,0.0,0.0
ImTest0111,10.0,-10.0,10.0,0.0,0.0,0.0
ImTest0112,10.0,-8.0,10.0,0.0,0.0,0.0
ImTest0113,10.0,-6.0,10.0,0.0,0.0,0.0
ImTest0114,10.0,-4.0,10.0,0.0,0.0,0.0
ImTest0115,10.0,-2.0,10.0,0.0,0.0,0.0
ImTest0116,10.0,0.0,10.0,0.0,0.0,0.0
ImTest0117,10.0,2.0,10.0,0.0,0.0,0.0
ImTest0118,10.0,4.0,10.0,0.0,0.0,0.0
ImTest0119,10.0,6.0,10.0,0.0,0.0,0.0
ImTest0120,10.0,8.0,10.0,0.0,0.0,0.0
ImTest0121,10.0,10.0,10.0,0.0,0.0,0.0
