ImageName,Tx,Ty,Tz,Rx,Ry,Rz
ImTest0001.png,-40.0,-40.0,60.0,0.0,0.0,0.0
ImTest0002.png,-40.0,-20.0,60.0,0.0,0.0,0.0
ImTest0003.png,-40.0,0.0,60.0,0.0,0.0,0.0
ImTest0004.png,-40.0,20.0,60.0,0.0,0.0,0.0
ImTest0005.png,-40.0,40.0,60.0,0.0,0.0,0.0
ImTest0006.png,-20.0,-40.0,60.0,0.0,0.0,0.0
ImTest0007.png,-20.0,-20.0,60.0,0.0,0.0,0.0
ImTest0008.png,-20.0,0.0,60.0,0.0,0.0,0.0
ImTest0009.png,-20.0,20.0,60.0,0.0,0.0,0.0
ImTest0010.png,-20.0,40.0,60.0,0.0,0.0,0.0
ImTest0011.png,0.0,-40.0,60.0,0.0,0.0,0.0
ImTest0012.png,0.0,-20.0,60.0,0.0,0.0,0.0
ImTest0013.png,0.0,0.0,60.0,0.0,0.0,0.0
ImTest0014.png,0.0,20.0,60.0,0.0,0.0,0.0
ImTest0015.png,0.0,40.0,60.0,0.0,0.0,0.0
ImTest0016.png,20.0,-40.0,60.0,0.0,0.0,0.0
ImTest0017.png,20.0,-20.0,60.0,0.0,0.0,0.0
ImTest0018.png,20.0,0.0,60.0,0.0,0.0,0.0
ImTest0019.png,20.0,20.0,60.0,0.0,0.0,0.0
ImTest0020.png,20.0,40.0,60.0,0.0,0.0,0.0
ImTest0021.png,40.0,-40.0,60.0,0.0,0.0,0.0
ImTest0022.png,40.0,-20.0,60.0,0.0,0.0,0.0
ImTest0023.png,40.0,0.0,60.0,0.0,0.0,0.0
ImTest0024.png,40.0,20.0,60.0,0.0,0.0,0.0
ImTest0025.png,40.0,40.0,60.0,0.0,0.0,0.0
