objectName_markerName,X,Y,Z,localX,localY,localZ
dummy1_055,-8.50296820506,-0.0785039343644,1.05227750223,0.5,0.0,0.0
dummy1_056,-8.51865942744,-0.378092794791,1.05172955267,0.5,0.1,0.0
dummy1_057,-8.53435064982,-0.677681655217,1.05118160311,0.5,0.2,0.0
dummy1_058,-8.5500418722,-0.977270515644,1.05063365355,0.5,0.3,0.0
dummy1_059,-8.56573309457,-1.27685937607,1.05008570399,0.5,0.4,0.0
dummy1_060,-8.58142431695,-1.5764482365,1.04953775443,0.5,0.5,0.0
dummy1_061,-8.59711553933,-1.87603709692,1.04898980487,0.5,0.6,0.0
dummy1_062,-8.61280676171,-2.17562595735,1.04844185531,0.5,0.7,0.0
dummy1_063,-8.62849798409,-2.47521481778,1.04789390576,0.5,0.8,0.0
dummy1_064,-8.64418920646,-2.7748036782,1.0473459562,0.5,0.9,0.0
dummy1_065,-8.65988042884,-3.07439253863,1.04679800664,0.5,1.0,0.0
dummy1_066,-8.20356184608,-0.0942047212373,1.06273300268,0.6,0.0,0.0
dummy1_067,-8.21925306845,-0.393793581664,1.06218505312,0.6,0.1,0.0
dummy1_068,-8.23494429083,-0.69338244209,1.06163710356,0.6,0.2,0.0
dummy1_069,-8.25063551321,-0.992971302516,1.061089154,0.6,0.3,0.0
dummy1_070,-8.26632673559,-1.29256016294,1.06054120444,0.6,0.4,0.0
dummy1_071,-8.28201795797,-1.59214902337,1.05999325488,0.6,0.5,0.0
dummy1_072,-8.29770918034,-1.8917378838,1.05944530532,0.6,0.6,0.0
dummy1_073,-8.31340040272,-2.19132674422,1.05889735576,0.6,0.7,0.0
dummy1_074,-8.3290916251,-2.49091560465,1.0583494062,0.6,0.8,0.0
dummy1_075,-8.34478284748,-2.79050446507,1.05780145664,0.6,0.9,0.0
dummy1_076,-8.36047406985,-3.0900933255,1.05725350708,0.6,1.0,0.0
dummy1_077,-7.90415548709,-0.10990550811,1.07318850313,0.7,0.0,0.0
dummy1_078,-7.91984670947,-0.409494368537,1.07264055357,0.7,0.1,0.0
dummy1_079,-7.93553793184,-0.709083228963,1.07209260401,0.7,0.2,0.0
dummy1_080,-7.95122915422,-1.00867208939,1.07154465445,0.7,0.3,0.0
dummy1_081,-7.9669203766,-1.30826094982,1.07099670489,0.7,0.4,0.0
dummy1_082,-7.98261159898,-1.60784981024,1.07044875533,0.7,0.5,0.0
dummy1_083,-7.99830282136,-1.90743867067,1.06990080577,0.7,0.6,0.0
dummy1_084,-8.01399404373,-2.20702753109,1.06935285621,0.7,0.7,0.0
dummy1_085,-8.02968526611,-2.50661639152,1.06880490665,0.7,0.8,0.0
dummy1_086,-8.04537648849,-2.80620525195,1.06825695709,0.7,0.9,0.0
dummy1_087,-8.06106771087,-3.10579411237,1.06770900753,0.7,1.0,0.0
dummy1_088,-7.6047491281,-0.125606294983,1.08364400357,0.8,0.0,0.0
dummy1_089,-7.62044035048,-0.425195155409,1.08309605401,0.8,0.1,0.0
dummy1_090,-7.63613157286,-0.724784015836,1.08254810445,0.8,0.2,0.0
dummy1_091,-7.65182279524,-1.02437287626,1.08200015489,0.8,0.3,0.0
dummy1_092,-7.66751401761,-1.32396173669,1.08145220533,0.8,0.4,0.0
dummy1_093,-7.68320523999,-1.62355059711,1.08090425577,0.8,0.5,0.0
dummy1_094,-7.69889646237,-1.92313945754,1.08035630621,0.8,0.6,0.0
dummy1_095,-7.71458768475,-2.22272831797,1.07980835665,0.8,0.7,0.0
dummy1_096,-7.73027890712,-2.52231717839,1.07926040709,0.8,0.8,0.0
dummy1_097,-7.7459701295,-2.82190603882,1.07871245754,0.8,0.9,0.0
dummy1_098,-7.76166135188,-3.12149489925,1.07816450798,0.8,1.0,0.0
dummy1_099,-7.30534276912,-0.141307081856,1.09409950402,0.9,0.0,0.0
