objectName_markerName,X,Y,Z,localX,localY,localZ
GCP20_001,25.5,50.5,1.0,0.5,0.5,0.0
GCP20_002,25.5,49.5,1.0,0.5,-0.5,0.0
GCP20_003,24.5,50.5,1.0,-0.5,0.5,0.0
GCP20_004,24.5,49.5,1.0,-0.5,-0.5,0.0
GCP21_000,50.0,-50.0,1.0,0.0,0.0,0.0
GCP21_001,50.5,-49.5,1.0,0.5,0.5,0.0
GCP21_002,50.5,-50.5,1.0,0.5,-0.5,0.0
GCP21_003,49.5,-49.5,1.0,-0.5,0.5,0.0
GCP21_004,49.5,-50.5,1.0,-0.5,-0.5,0.0
GCP22_000,50.0,-25.0,1.0,0.0,0.0,0.0
GCP22_001,50.5,-24.5,1.0,0.5,0.5,0.0
GCP22_002,50.5,-25.5,1.0,0.5,-0.5,0.0
GCP22_003,49.5,-24.5,1.0,-0.5,0.5,0.0
GCP22_004,49.5,-25.5,1.0,-0.5,-0.5,0.0
GCP23_000,50.0,0.0,1.0,0.0,0.0,0.0
GCP23_001,50.5,0.5,1.0,0.5,0.5,0.0
GCP23_002,50.5,-0.5,1.0,0.5,-0.5,0.0
GCP23_003,49.5,0.5,1.0,-0.5,0.5,0.0
GCP23_004,49.5,-0.5,1.0,-0.5,-0.5,0.0
GCP24_000,50.0,25.0,1.0,0.0,0.0,0.0
GCP24_001,50.5,25.5,1.0,0.5,0.5,0.0
GCP24_002,50.5,24.5,1.0,0.5,-0.5,0.0
GCP24_003,49.5,25.5,1.0,-0.5,0.5,0.0
GCP24_004,49.5,24.5,1.0,-0.5,-0.5,0.0
GCP25_000,50.0,50.0,1.0,0.0,0.0,0.0
GCP25_001,50.5,50.5,1.0,0.5,0.5,0.0
GCP25_002,50.5,49.5,1.0,0.5,-0.5,0.0
GCP25_003,49.5,50.5,1.0,-0.5,0.5,0.0
GCP25_004,49.5,49.5,1.0,-0.5,-0.5,0.0
dummy1_000,-15.0,50.0,1.0,0.0,0.0,0.0
dummy1_001,-15.0156912224,49.7004111396,0.99945205044,0.0,0.1,0.0
dummy1_002,-15.0313824448,49.4008222791,0.998904100881,0.0,0.2,0.0
dummy1_003,-15.0470736671,49.1012334187,0.998356151321,0.0,0.3,0.0
dummy1_004,-15.0627648895,48.8016445583,0.997808201761,0.0,0.4,0.0
dummy1_005,-15.0784561119,48.5020556979,0.997260252202,0.0,0.5,0.0
dummy1_006,-15.0941473343,48.2024668374,0.996712302642,0.0,0.6,0.0
dummy1_007,-15.1098385566,47.902877977,0.996164353082,0.0,0.7,0.0
dummy1_008,-15.125529779,47.6032891166,0.995616403522,0.0,0.8,0.0
dummy1_009,-15.1412210014,47.3037002562,0.995068453963,0.0,0.9,0.0
dummy1_010,-15.1569122238,47.0041113957,0.994520504403,0.0,1.0,0.0
dummy1_011,-14.700593641,49.9842992131,1.01045550045,0.1,0.0,0.0
dummy1_012,-14.7162848634,49.6847103527,1.00990755089,0.1,0.1,0.0
dummy1_013,-14.7319760858,49.3851214923,1.00935960133,0.1,0.2,0.0
dummy1_014,-14.7476673081,49.0855326318,1.00881165177,0.1,0.3,0.0
dummy1_015,-14.7633585305,48.7859437714,1.00826370221,0.1,0.4,0.0
dummy1_016,-14.7790497529,48.486354911,1.00771575265,0.1,0.5,0.0
dummy1_017,-14.7947409753,48.1867660506,1.00716780309,0.1,0.6,0.0
dummy1_018,-14.8104321977,47.8871771901,1.00661985353,0.1,0.7,0.0
dummy1_019,-14.82612342,47.5875883297,1.00607190397,0.1,0.8,0.0
dummy1_020,-14.8418146424,47.2879994693,1.00552395441,0.1,0.9,0.0
dummy1_021,-14.8575058648,46.9884106089,1.00497600485,0.1,1.0,0.0
dummy1_022,-14.401187282,49.9685984263,1.02091100089,0.2,0.0,0.0
dummy1_023,-14.4168785044,49.6690095658,1.02036305133,0.2,0.1,0.0
dummy1_024,-14.4325697268,49.3694207054,1.01981510177,0.2,0.2,0.0
