ImageName,Tx,Ty,Tz,Rx,Ry,Rz
CenterPoint001.png,2.393712,-0.883402,-4.29997,0.0,149.315908,339.743355
CenterPoint002.png,-2.174718,-0.693912,-4.448493,0.0,152.835386,197.696911
CenterPoint003.png,-0.623361,-4.562046,1.949143,0.0,67.056163,262.219257
CenterPoint004.png,-4.24122,-2.220366,-1.442922,0.0,106.773224,207.632987
CenterPoint005.png,1.923214,0.315238,-4.604549,0.0,157.059462,9.30869
CenterPoint006.png,-0.979002,0.341861,-4.891287,0.0,168.03029,160.751152
CenterPoint007.png,-2.617284,-3.431786,-2.524414,0.0,120.32356900000002,232.668705
CenterPoint008.png,-2.99757,-0.401722,3.981607,0.0,37.219762,187.633063
CenterPoint009.png,-3.077234,3.182947,-2.323678,0.0,117.693107,134.032558
CenterPoint010.png,1.035736,-0.431804,4.872453,0.0,12.969278999999998,337.36848
