objectName_markerName,X,Y,Z,localX,localY,localZ
trichecker4_000,5.0,15.0,9.0,0.0,0.0,0.0
trichecker4_001,4.86527036447,15.1508813013,8.6549163026,0.0,0.1,0.0
trichecker4_002,4.73054072893,15.3017626027,8.3098326052,0.0,0.2,0.0
trichecker4_003,4.5958110934,15.452643904,7.96474890779,0.0,0.3,0.0
trichecker4_004,4.46108145787,15.6035252054,7.61966521039,0.0,0.4,0.0
trichecker4_005,4.32635182233,15.7544065067,7.27458151299,0.0,0.5,0.0
trichecker4_006,4.1916221868,15.9052878081,6.92949781559,0.0,0.6,0.0
trichecker4_007,4.05689255127,16.0561691094,6.58441411818,0.0,0.7,0.0
trichecker4_008,3.92216291573,16.2070504108,6.23933042078,0.0,0.8,0.0
trichecker4_009,3.7874332802,16.3579317121,5.89424672338,0.0,0.9,0.0
trichecker4_010,3.65270364467,16.5088130135,5.54916302598,0.0,1.0,0.0
trichecker4_011,5.18508331568,14.9927285158,8.92455934933,0.1,0.0,0.0
trichecker4_012,5.05035368015,15.1436098171,8.57947565192,0.1,0.1,0.0
trichecker4_013,4.91562404461,15.2944911185,8.23439195452,0.1,0.2,0.0
trichecker4_014,4.78089440908,15.4453724198,7.88930825712,0.1,0.3,0.0
trichecker4_015,4.64616477355,15.5962537212,7.54422455972,0.1,0.4,0.0
trichecker4_016,4.51143513801,15.7471350225,7.19914086231,0.1,0.5,0.0
trichecker4_017,4.37670550248,15.8980163238,6.85405716491,0.1,0.6,0.0
trichecker4_018,4.24197586695,16.0488976252,6.50897346751,0.1,0.7,0.0
trichecker4_019,4.10724623141,16.1997789265,6.16388977011,0.1,0.8,0.0
trichecker4_020,3.97251659588,16.3506602279,5.81880607271,0.1,0.9,0.0
trichecker4_021,3.83778696035,16.5015415292,5.4737223753,0.1,1.0,0.0
trichecker4_022,5.37016663136,14.9854570315,8.84911869865,0.2,0.0,0.0
trichecker4_023,5.23543699583,15.1363383329,8.50403500125,0.2,0.1,0.0
trichecker4_024,5.10070736029,15.2872196342,8.15895130385,0.2,0.2,0.0
trichecker4_025,4.96597772476,15.4381009356,7.81386760645,0.2,0.3,0.0
trichecker4_026,4.83124808923,15.5889822369,7.46878390904,0.2,0.4,0.0
trichecker4_027,4.69651845369,15.7398635383,7.12370021164,0.2,0.5,0.0
trichecker4_028,4.56178881816,15.8907448396,6.77861651424,0.2,0.6,0.0
trichecker4_029,4.42705918263,16.041626141,6.43353281684,0.2,0.7,0.0
trichecker4_030,4.29232954709,16.1925074423,6.08844911943,0.2,0.8,0.0
trichecker4_031,4.15759991156,16.3433887437,5.74336542203,0.2,0.9,0.0
trichecker4_032,4.02287027603,16.494270045,5.39828172463,0.2,1.0,0.0
